date,sku_id,brand,channel_id,warehouse_id,product_category,product_sub_category,lifecycle_stage,launch_date,days_since_launch,mrp,cost_price,discount_percent,selling_price,competitor_avg_price,price_position_vs_mrp,price_vs_competition,units_sold,demand_lambda,price_elasticity_effect,holiday_flag,promotion_flag,promotion_type,festival_intensity,weather_impact,economic_sentiment,marketing_spend,cac,roas,on_hand_inventory,inbound_inventory,stockout_flag,lead_time_days,units_returned,expected_return_rate,revenue,gross_profit,gross_margin,net_profit,net_margin,dow_factor,monthly_seasonality,brand_strength_score,quality_score,trend_factor,cannibalization_factor,week_of_year,quarter,orders,cancelled_orders,cancelled_units,ordered_units,brand_channel_budget,quarter_revenue,quarter_qoq_growth,quarter_yoy_growth
2022-01-01,X_003,X,Website,chennai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0014,331.74,278.44,0.9986,1.1914,0,0.059442,1.001694,False,False,NULL,1,1,1.0363,70.27,NULL,0,1102,0,False,NULL,0,0.0824,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9223,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Website,bangalore,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0111,328.53,347.86,0.9889,0.9444,0,0.062198,1.013294,False,False,NULL,1,1,1.034,197.12,NULL,0,1421,0,False,NULL,0,0.0962,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9732,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Website,pune,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0206,325.36,319.33,0.9794,1.0189,0,0.037873,1.024758,False,False,NULL,1,1,1.0288,65.42,NULL,0,588,0,False,NULL,0,0.1144,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9313,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,mumbai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0248,323.99,338.74,0.9753,0.9565,0,0.056566,1.029703,False,False,NULL,1,1,0.9874,69.48,NULL,0,866,0,False,NULL,0,0.0597,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9864,52,1,0,0,0,0,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,lucknow,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0,332.21,361.25,1,0.9196,0,0.048017,1,False,False,NULL,1,1,1.0196,67.69,NULL,0,839,0,False,NULL,0,0.0761,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9046,52,1,0,0,0,0,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,delhi,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0501,315.56,357.33,0.9499,0.8831,0,0.063816,1.060145,False,False,NULL,1,1,0.9906,63.88,NULL,0,697,0,False,NULL,0,0.0746,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9945,52,1,0,0,0,0,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,ahmedabad,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0628,311.35,351.38,0.9372,0.8861,1,0.08791,1.075344,False,False,NULL,1,1,1.0277,66.03,66.03,4.7153,732,0,False,NULL,0,0.0751,311.35,156.5,0.5026,113.24,0.3637,1.4,1,0.8141,0.7391,0.9461,0.8829,52,1,1,0,0,1,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,chennai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0,332.21,348.11,1,0.9543,0,0.049228,1,False,False,NULL,1,1,0.9983,72.36,NULL,0,1102,0,False,NULL,0,0.0679,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.8921,52,1,0,0,0,0,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,bangalore,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0,332.21,353.24,1,0.9405,0,0.041244,1,False,False,NULL,1,1,0.9525,67.64,NULL,0,1421,0,False,NULL,0,0.0569,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.8884,52,1,0,0,0,0,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Retail,pune,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0482,316.2,371.87,0.9518,0.8503,0,0.066256,1.057825,False,False,NULL,1,1,0.9565,65.06,NULL,0,588,0,False,NULL,0,0.0471,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9908,52,1,0,0,0,0,8444.77,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,mumbai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.083,304.64,333.39,0.917,0.9138,0,0.048356,1.099581,False,False,NULL,1,1,0.9508,66.32,NULL,0,866,0,False,NULL,0,0.1336,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9258,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,lucknow,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.092,301.64,288.71,0.908,1.0448,0,0.050754,1.110417,False,False,NULL,1,1,1.0485,64.23,NULL,0,839,0,False,NULL,0,0.2086,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9336,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,delhi,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0513,315.15,320.2,0.9486,0.9842,0,0.05543,1.061614,False,False,NULL,1,1,0.9691,68.19,NULL,0,697,0,False,NULL,0,0.1321,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9869,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,ahmedabad,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0904,302.16,390.94,0.9095,0.7729,0,0.033872,1.108533,False,False,NULL,1,1,0.9044,62.53,NULL,0,732,0,False,NULL,0,0.2037,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9514,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,chennai,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.1093,295.91,325.37,0.8907,0.9095,0,0.063537,1.131115,False,False,NULL,1,1,1.0198,61.98,NULL,0,1102,0,False,NULL,0,0.1948,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.938,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,bangalore,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.0736,307.78,381.25,0.9265,0.8073,0,0.046255,1.088262,False,False,NULL,1,1,1.0757,15.39,NULL,0,1421,0,False,NULL,0,0.2063,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.8954,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_003,X,Quick_Commerce,pune,Footwear,Sub_Cat_2,Launch,2022-01-22,-21,332.21,154.85,0.2142,261.05,283.67,0.7858,0.9203,0,0.072447,1.25705,False,False,NULL,1,1,1.0387,55.52,NULL,0,588,0,False,NULL,0,0.1312,0,0,NULL,0,NULL,1.4,1,0.8141,0.7391,0.9461,0.9342,52,1,0,0,0,0,5738.96,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,mumbai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0558,4645.49,5489.91,0.9442,0.8462,0,0.009021,1.066998,False,False,NULL,1,1,0.9698,878.91,NULL,0,826,0,False,NULL,0,0.0562,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9709,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,lucknow,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0682,4584.62,4484.1,0.9318,1.0224,0,0.005636,1.081842,False,False,NULL,1,1,0.9207,865.6,NULL,0,1466,0,False,NULL,0,0.0557,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9772,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,delhi,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1226,4316.84,4271.82,0.8774,1.0105,0,0.008173,1.147152,False,False,NULL,1,1,0.9933,915.47,NULL,0,667,0,False,NULL,0,0.0582,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.972,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,ahmedabad,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0212,4815.77,5406.72,0.9788,0.8907,0,0.004818,1.025467,False,False,NULL,1,1,0.992,974.42,NULL,0,882,0,False,NULL,0,0.0404,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9836,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,chennai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0924,4465.65,4941.25,0.9076,0.9037,0,0.005984,1.110859,False,False,NULL,1,1,0.9515,944.49,NULL,0,1359,0,False,NULL,0,0.0404,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9863,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,bangalore,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0571,4639.33,5433.5,0.9429,0.8538,0,0.009565,1.068499,False,False,NULL,1,1,1.0276,998,NULL,0,1202,0,False,NULL,0,0.0457,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9795,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Amazon,pune,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0695,4578.44,4410.43,0.9305,1.0381,0,0.00775,1.083351,False,False,NULL,1,1,1.0923,874.14,NULL,0,739,0,False,NULL,0,0.055,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.8936,52,1,0,0,0,0,11882.58,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,mumbai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0819,4517.13,4789.08,0.9181,0.9432,0,0.004613,1.098303,False,False,NULL,1,1,1.0111,943.37,NULL,0,826,0,False,NULL,0,0.0413,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.8938,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,lucknow,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1377,4242.78,5442.95,0.8623,0.7795,0,0.005242,1.165215,False,False,NULL,1,1,1.008,888.47,NULL,0,1466,0,False,NULL,0,0.0366,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9524,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,delhi,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1022,4417.44,4580.97,0.8978,0.9643,0,0.007542,1.122616,False,False,NULL,1,1,0.9531,952,NULL,0,667,0,False,NULL,0,0.0491,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9898,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,ahmedabad,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1191,4334.05,5499.13,0.8809,0.7881,0,0.004131,1.142955,False,False,NULL,1,1,1.0699,216.7,NULL,0,882,0,False,NULL,0,0.0507,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.997,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,chennai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1213,4323.4,5821.42,0.8787,0.7427,0,0.005116,1.145552,False,False,NULL,1,1,0.9962,801.73,NULL,0,1359,0,False,NULL,0,0.0653,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.8501,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,bangalore,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0322,4761.54,5245.4,0.9678,0.9078,0,0.005028,1.038695,False,False,NULL,1,1,0.9711,916.78,NULL,0,1202,0,False,NULL,0,0.0544,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9109,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Flipkart,pune,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1135,4361.58,4972.84,0.8865,0.8771,0,0.00655,1.136242,False,False,NULL,1,1,1.0032,828.77,NULL,0,739,0,False,NULL,0,0.0613,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9424,52,1,0,0,0,0,10199.54,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,mumbai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1081,4388.1,4379.6,0.8919,1.0019,0,0.007752,1.129774,False,False,NULL,1,1,1.0236,907.4,NULL,0,826,0,False,NULL,0,0.031,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9749,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,lucknow,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.1575,4145.43,4307.97,0.8425,0.9623,0,0.004049,1.188959,False,False,NULL,1,1,1.007,858.07,NULL,0,1466,0,False,NULL,0,0.0487,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9208,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,delhi,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0495,4676.72,5607.8,0.9505,0.834,0,0.004625,1.05938,False,False,NULL,1,1,1.0603,890.23,NULL,0,667,0,False,NULL,0,0.0332,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.8645,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,ahmedabad,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0303,4771.23,4218.68,0.9697,1.131,0,0.004886,1.03633,False,False,NULL,1,1,1.0192,968.01,NULL,0,882,0,False,NULL,0,0.0421,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9514,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,chennai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0951,4452.42,5323.1,0.9049,0.8364,0,0.005591,1.114086,False,False,NULL,1,1,0.9858,944.77,NULL,0,1359,0,False,NULL,0,0.0433,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.971,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,bangalore,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0552,4648.78,5282.3,0.9448,0.8801,0,0.005514,1.066194,False,False,NULL,1,1,1.0201,922.41,NULL,0,1202,0,False,NULL,0,0.0333,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9504,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Myntra,pune,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0.0368,4738.93,5452.55,0.9632,0.8691,0,0.004879,1.044208,False,False,NULL,1,1,1.025,997.73,NULL,0,739,0,False,NULL,0,0.0561,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.9957,52,1,0,0,0,0,10485.04,38217264.69,0.1091,NULL
2022-01-01,X_004,X,Website,mumbai,Accessories,Sub_Cat_4,Launch,2023-07-21,-566,4920.19,1972.1,0,4920.19,4584.44,1,1.0732,0,0.002107,1,False,False,NULL,1,1,0.9352,1063.23,NULL,0,826,0,False,NULL,0,0.0284,0,0,NULL,0,NULL,1.4,1,0.8126,0.7477,0.8325,0.8906,52,1,0,0,0,0,3136.33,38217264.69,0.1091,NULL
